Peyton Manning,406
Drew Brees,348
Jamaal Charles,295
Cam Newton,282
Andrew Luck,279
Andy Dalton,277
Philip Rivers,276
Matthew Stafford,267
LeSean McCoy,262
Russell Wilson,256
Colin Kaepernick,253
Tony Romo,252
Matt Forte,251
Nick Foles,251
Ben Roethlisberger,248
Tom Brady,241
Matt Ryan,239
Alex Smith,238
Ryan Tannehill,225
Marshawn Lynch,224
Josh Gordon,221
Knowshon Moreno,220
Demaryius Thomas,220
Calvin Johnson,212
Jimmy Graham,211
Carson Palmer,209
A.J. Green,203
Robert Griffin III,200
Brandon Marshall,198
Eddie Lacy,198
Antonio Brown,197
Seahawks D/ST,195
Adrian Peterson,194
Joe Flacco,194
Dez Bryant,194
Chris Johnson,189
DeMarco Murray,189
Eric Decker,187
Alshon Jeffery,186
Panthers D/ST,185
DeSean Jackson,182
Geno Smith,179
Chiefs D/ST,179
Stephen Gostkowski,176
Bengals D/ST,176
Fred Jackson,175
Ryan Mathews,175
Reggie Bush,174
Jordy Nelson,173
Matt Prater,169
Frank Gore,166
Cardinals D/ST,164
Eli Manning,162
Aaron Rodgers,162
Andre Johnson,161
Jay Cutler,160
Alfred Morris,160
Le'Veon Bell,160
Justin Tucker,159
Ryan Fitzpatrick,158
Steven Hauschka,158
Adam Vinatieri,157
Vincent Jackson,156
Vernon Davis,156
Phil Dawson,154
Nick Novak,154
Pierre Garcon,154
49ers D/ST,154
Anquan Boldin,153
Mason Crosby,153
Chad Henne,152
Mike Glennon,152
Joique Bell,151
Dan Bailey,151
Zac Stacy,150
Giovani Bernard,149
Larry Fitzgerald,146
Dan Carpenter,146
Rams D/ST,145
Julius Thomas,144
Nick Folk,141
Keenan Allen,141
Jay Feely,138
Julian Edelman,137
Shaun Suisham,135
Robbie Gould,132
Maurice Jones-Drew,132
Danny Woodhead,132
Torrey Smith,132
Terrelle Pryor,132
T.Y. Hilton,132
Josh McCown,131
Wes Welker,130
Tony Gonzalez,129
DeAngelo Williams,128
Graham Gano,128
Riley Cooper,128
Michael Floyd,128
Marvin Jones,128
Jason Witten,127
Rashad Jennings,127
Jordan Cameron,127
Blair Walsh,126
EJ Manuel,124
Bills D/ST,123
Rob Bironas,121
Ryan Succop,120
Greg Zuerlein,120
Matt Bryant,119
Marques Colston,118
Pierre Thomas,118
Alex Henery,118
Brian Hartline,117
Mike Wallace,117
Caleb Sturgis,117
Mike Nugent,115
Rashard Mendenhall,115
Victor Cruz,115
Andre Ellington,115
Donald Brown,114
Sam Bradford,114
Patriots D/ST,114
Jerricho Cotchery,113
Golden Tate,113
Charles Clay,113
Kendall Wright,113
Greg Olsen,110
Garrett Hartley,110
LeGarrette Blount,110
Colts D/ST,110
Saints D/ST,110
Buccaneers D/ST,110
C.J. Spiller,109
Randy Bullock,109
Stevan Ridley,108
Jason Campbell,107
Ray Rice,107
BenJarvus Green-Ellis,107
Cordarrelle Patterson,107
Browns D/ST,107
Broncos D/ST,107
Rian Lindell,106
Josh Brown,106
Harry Douglas,106
Sebastian Janikowski,105
Steven Jackson,105
Emmanuel Sanders,105
Ravens D/ST,105
David Akers,104
Nate Washington,104
Eddie Royal,104
Rod Streater,104
Giants D/ST,104
Steelers D/ST,103
Antonio Gates,102
Billy Cundiff,101
Josh Scobee,101
Doug Baldwin,101
Ben Tate,100
Christian Ponder,100
Titans D/ST,100
Matt Cassel,99
Trent Richardson,99
Michael Vick,97
Matt Schaub,97
Greg Jennings,97
Case Keenum,97
Dolphins D/ST,97
Martellus Bennett,96
Terrance Williams,96
Denarius Moore,95
Steve Smith,94
Chris Ivory,94
Lions D/ST,94
Cecil Shorts,93
Marlon Brown,93
Jake Locker,92
James Jones,91
Rueben Randle,91
Darren Sproles,90
Dwayne Bowe,90
Bilal Powell,89
Redskins D/ST,89
Jared Cook,88
Jarrett Boykin,88
Kenny Stills,88
Delanie Walker,87
Bobby Rainey,87
Brandon LaFell,86
Hakeem Nicks,85
Lamar Miller,85
Brandon Weeden,84
Packers D/ST,84
Raiders D/ST,84
Mike Tolbert,83
Eagles D/ST,83
Roddy White,82
Ted Ginn,82
Kai Forbath,82
Jets D/ST,82
Arian Foster,81
Coby Fleener,81
Tavon Austin,81
DeAndre Hopkins,81
Rob Gronkowski,80
Shane Vereen,80
Montee Ball,80
Timothy Wright,80
Kellen Clemens,79
Cowboys D/ST,79
Bears D/ST,77
Garrett Graham,76
Jacquizz Rodgers,76
Brent Celek,75
James Starks,74
Daniel Thomas,74
Matt McGloin,74
Steve Johnson,73
Robert Woods,73
Aaron Dobson,72
Darren McFadden,71
Randall Cobb,71
Jerome Simpson,70
Danny Amendola,70
Marcel Reece,70
Brandon Myers,70
Dexter McCluster,70
Scott Chandler,68
Chargers D/ST,68
Texans D/ST,68
Andre Brown,67
Matt Flynn,66
Kenbrell Thompkins,66
Donnie Avery,65
Julio Jones,65
Jeremy Kerley,65
Roy Helu,65
Jordan Reed,65
Zach Ertz,64
Zach Miller,63
Tiquan Underwood,63
Falcons D/ST,62
Reggie Wayne,61
Mychal Rivera,61
Joseph Fauria,61
Jacoby Jones,59
Jermaine Gresham,58
Jeff Cumberland,58
Austin Pettis,57
Jarius Wright,57
Jaguars D/ST,57
Heath Miller,56
Bernard Pierce,55
Justin Hunter,55
Marcedes Lewis,54
Chris Ogbonnaya,54
Thad Lewis,54
Kris Durham,54
Jason Snelling,53
Ladarius Green,53
Rishard Matthews,53
Knile Davis,53
Ace Sanders,53
Vikings D/ST,53
Shonn Greene,52
Kendall Hunter,52
Santana Moss,51
Lance Moore,51
Andre Roberts,51
Leonard Hankerson,51
Jerrel Jernigan,51
Doug Martin,51
Mike Brown,51
Brandon Bolden,51
David Nelson,50
Greg Little,50
Mohamed Sanu,50
Chris Givens,50
Jermaine Kearse,50
Santonio Holmes,49
Jason Avant,49
Tyler Eifert,49
Nate Burleson,48
Brandon Gibson,48
Rob Housler,48
Dallas Clark,47
Vincent Brown,47
Jordan Todman,47
Kellen Winslow,46
Jermichael Finley,46
Brandon Pettigrew,46
Andre Holmes,46
Justin Blackmon,46
Bryce Brown,46
Mark Ingram,45
Kyle Rudolph,45
Aldrick Robinson,45
Earl Bennett,44
Lance Kendricks,44
Willis McGahee,43
